Half of a Yellow Sun,Chimamanda Ngozi Adichie,modern,2024-01-25,4.2
Heaven,Meiko Kawakami,modern,2024-01-25,3.2
Wuthering Heights,Emily Bronte,classic,2024-02-24,3.7
Bunny,Mona Awad,modern,2024-02-22,3.3
Cleopatra and Frankenstein,Coco Mellors,modern,2024-03-21,3.1
Kitchen,Banana Yoshimoto,classic,2024-04-27, 
Tender is the Flesh,Augustina Bazterrica,modern,2024-04-18,3.9
The Days of Abandonment,Elena Ferrante,modern,2024-05-16,
The Scarlet Pimpernel,Emmuska Orczy,classic,2024-06-29,2.7
Remarkably Bright Creatures,Shelby Van Pelt,modern,2024-06-20,3.6
The Great Believers,Rebecca Makkai,modern,2024-07-27, 
The Bluest Eye,Toni Morrison,classic,2024-08-15,4.4
Piranesi,Susanna Clark,modern,2024-08-24,4.3
A Little Life,Hanya Yanagihara,modern,2024-09-19,3.2
Frankenstein,Mary Shelley,classic,2024-10-31, 
Nightbitch,Rachel Yoder,modern,2024-10-19,
Elena Knows,Claudia Pineiro,modern,2024-11-21,3.7
Earthlings,Sayaka Murata,modern,2024-12- 07,
Emma,Jane Austen,classic,2024-12-15,
