Half of a Yellow Sun,Chimamanda Ngozi Adichie,modern,2024-01-25,4.2
Heaven,Meiko Kawakami,modern,2024-01-25,3.2
Wuthering Heights,Emily Bronte,classic,2024-02-24,3.7
Bunny,Mona Awad,modern,2024-02-22,3.3
Cleopatra and Frankenstein,Coco Mellors,modern,2024-03-21,3.1
Kitchen,Banana Yoshimoto,classic,2024-04-27, 
Tender is the Flesh,Augustina Bazterrica,modern,2024-04-18,3.9
The Days of Abandonment,Elena Ferrante,modern,2024-05-16,
The Scarlet Pimpernel,Emmuska Orczy,classic,2024-06-29,2.7
Remarkably Bright Creatures,Shelby Van Pelt,modern,2024-06-20,3.6
The Great Believers,Rebecca Makkai,modern,2024-07-27, 
The Bluest Eye,Toni Morrison,classic,2024-08-15,4.4
Piranesi,Susanna Clark,modern,2024-08-24,4.3
A Little Life,Hanya Yanagihara,modern,2024-09-19,3.2
Frankenstein,Mary Shelley,classic,2024-10-31, 
Nightbitch,Rachel Yoder,modern,2024-10-19,
Elena Knows,Claudia Pineiro,modern,2024-11-21,3.7
Earthlings,Sayaka Murata,modern,2024-12- 07,
Emma,Jane Austen,classic,2024-12-15,
The Secret History,Donna Tart,modern,2025-01-30,3.3
Efuru,Flora Nwapa,classic,2025-02-22,
Beach Read,Emily Henry,modern,2025-02-27,3.3
The Island of Missing Trees,Elif Shafak,modern,2025-03-27,4.1
Rebecca,Daphne du Maurier,classic,2025-04-12,3.6
Orbital,Samanta Harvey,modern,2025-04-24,3.1
The Island of Sea Women,Lisa See,modern,2025-05-29,4.2
Normal People,Sally Rooney,modern,2025-06-20,3.9
Half a Lifelong Romance,Eileen Chang,classic,2025-06-21,3.4
Girl Woman Other,Bernardine Evaristo,modern,2025-07-01,4.1
The Bell Jar,Sylvia Plath,classic,2025-07-26,3.6
My Year of Rest and Relaxation,Otessa Mosfeigh,modern,2025-07-26,3.6
The Color Purple,Alice Walker,classic,2025-08-30,4.6
Malibu Rising,Taylor Jenkin Reid,modern,2025-08-14,3.4
The Wedding People,Alison Espach,modern,2025-09-18,3.7
We Have Always Lived in the Castle,Shirley Jackson,classic,2025-10-19,3.8
Bury Our Bones in the Midnight Soil,V.E. Schwab,modern,2025-10-31,3.0
The Idiot,Elif Batuman,modern,2025-11-25,3.5
To Kill a Mockingbird,Harper Lee,classic,2025-12-27,4.7
Small Things Like These,Claire Keegan,modern,2025-12-07,4.2
Forbidden Notebook,Alba de Céspedes,classic,2026-01-31,4.4
Greek Lessons,Han Kang,modern,2026-01-22,3.0
Orlando,Virginia Woolf,classic,2026-02-28,3.7
Sunburn,Chloe Michelle Howarth,modern,2026-02-19,4.2
My Name Is Emilia del Valle,Isabel Allende,modern,2026-03-26,
A Frozen Woman,Annie Ernaux,classic,2026-04-18,
Educated,Tara Westover,modern,2026-04-23,
The White Album,Joan Didion,modern,2026-05-21,
