type,book,date,rating
MODERN ,"Half of a Yellow Sun,  Chimamanda Ngozi Adichie",25.01.24 - 7pm,4.2
MODERN ,"Heaven, Meiko Kawakami",25.01.24 - 7pm,3.2
CLASSIC ,"Wuthering Heights, Emily Bronte ",24.02.24 - 2pm,3.7
MODERN ,"Bunny, Mona Awad",22.02.24 - 7pm,3.3
MODERN ,"Cleopatra and Frankenstein, Coco Mellors ",21.03.24 - 7pm ,3.1
CLASSIC ,"Kitchen, Banana Yoshimoto ",27.04.24 - 2pm, 
MODERN ,"Tender is the Flesh, Augustina Bazterrica ",18.04.24 - 7pm ,3.9
MODERN ,"The Days of Abandonment, Elena Ferrante ",16.05.24 - 7pm ,
CLASSIC ,"The Scarlet Pimpernel, Emmuska Orczy",29.06.24 - 2pm ,2.7
MODERN ,"Remarkably Bright Creatures, Shelby Van Pelt",20.06.24 - 7pm ,3.6
MODERN ,"The Great Believers, Rebecca Makkai ",27.07.24 - 3pm, 
CLASSIC ,The Bluest Eye by Toni Morrison,15.08.24 - 7pm,4.4
MODERN ,"Piranesi, Susanna Clark ",24.08.24 - 2pm ,4.3
MODERN ,"A Little Life, Hanya Yanagihara ",19.09.24 - 7pm ,3.2
CLASSIC ,Frankenstein by Mary Shelley,31.10.24- 7pm, 
MODERN ,Nightbitch by Rachel Yoder ,19.10.24 - 2pm,
MODERN ,Elena Knows by Claudia Pineiro ,21.11.24 - 7pm,3.7
MODERN,Earthlings by Sayaka Murata, 07.12.24 - 3pm,
CLASSIC ,Emma by Jane Austen ,15.12.24 - 2pm,
